source,target,relation,cone,distance
3356,25464,-1,52971,400.00000000000034
3356,20710,-1,52971,400.00000000000034
3356,43073,-1,52971,400.00000000000034
3356,2571,-1,52971,400.0000000000003
3356,202093,-1,52971,400.0000000000003
3356,43424,-1,52971,400.0000000000003
3356,44086,-1,52971,400.0000000000003
3356,47631,-1,52971,400.0000000000003
3356,52013,-1,52971,400.0000000000003
3356,50349,-1,52971,400.0000000000003
3356,20896,-1,52971,400.0000000000002
3356,20617,-1,52971,400.0000000000002
3356,8211,-1,52971,400.0000000000002
3356,8360,-1,52971,400.0000000000002
3356,263143,-1,52971,400.0000000000002
3356,262277,-1,52971,400.0000000000002
3356,200308,-1,52971,400.0000000000002
3356,201491,-1,52971,400.0000000000002
3356,207009,-1,52971,400.0000000000002
3356,209397,-1,52971,400.0000000000002
3356,209483,-1,52971,400.0000000000002
3356,203410,-1,52971,400.0000000000002
3356,44993,-1,52971,400.0000000000002
3356,33802,-1,52971,400.0000000000002
3356,39176,-1,52971,400.0000000000002
3356,56443,-1,52971,400.0000000000002
3356,51809,-1,52971,400.0000000000002
3356,22593,-1,52971,400.00000000000017
3356,22641,-1,52971,400.00000000000017
3356,25581,-1,52971,400.00000000000017
3356,21260,-1,52971,400.00000000000017
3356,31223,-1,52971,400.00000000000017
3356,30821,-1,52971,400.00000000000017
3356,30228,-1,52971,400.00000000000017
3356,31490,-1,52971,400.00000000000017
3356,28313,-1,52971,400.00000000000017
3356,28789,-1,52971,400.00000000000017
3356,8651,-1,52971,400.00000000000017
3356,7465,-1,52971,400.00000000000017
3356,11223,-1,52971,400.00000000000017
3356,263514,-1,52971,400.00000000000017
3356,263394,-1,52971,400.00000000000017
3356,263858,-1,52971,400.00000000000017
3356,262954,-1,52971,400.00000000000017
3356,268391,-1,52971,400.00000000000017
3356,216274,-1,52971,400.00000000000017
3356,202196,-1,52971,400.00000000000017
3356,196870,-1,52971,400.00000000000017
3356,199190,-1,52971,400.00000000000017
3356,209231,-1,52971,400.00000000000017
3356,210211,-1,52971,400.00000000000017
3356,210937,-1,52971,400.00000000000017
3356,203897,-1,52971,400.00000000000017
3356,206166,-1,52971,400.00000000000017
3356,206331,-1,52971,400.00000000000017
3356,206437,-1,52971,400.00000000000017
3356,205149,-1,52971,400.00000000000017
3356,398771,-1,52971,400.00000000000017
3356,394314,-1,52971,400.00000000000017
3356,394467,-1,52971,400.00000000000017
3356,41625,-1,52971,400.00000000000017
3356,41234,-1,52971,400.00000000000017
3356,47309,-1,52971,400.00000000000017
3356,44179,-1,52971,400.00000000000017
3356,35793,-1,52971,400.00000000000017
3356,36738,-1,52971,400.00000000000017
3356,57307,-1,52971,400.00000000000017
3356,60350,-1,52971,400.00000000000017
3356,60377,-1,52971,400.00000000000017
3356,62044,-1,52971,400.00000000000017
3356,50624,-1,52971,400.00000000000017
3356,49683,-1,52971,400.00000000000017
3356,54593,-1,52971,400.00000000000017
3356,22460,-1,52971,400.0000000000001
3356,22341,-1,52971,400.0000000000001
3356,22522,-1,52971,400.0000000000001
3356,22148,-1,52971,400.0000000000001
3356,25758,-1,52971,400.0000000000001
3356,23049,-1,52971,400.0000000000001
3356,23099,-1,52971,400.0000000000001
3356,23251,-1,52971,400.0000000000001
3356,19443,-1,52971,400.0000000000001
3356,18547,-1,52971,400.0000000000001
3356,21099,-1,52971,400.0000000000001
3356,21519,-1,52971,400.0000000000001
3356,21439,-1,52971,400.0000000000001
3356,31404,-1,52971,400.0000000000001
3356,32593,-1,52971,400.0000000000001
3356,32053,-1,52971,400.0000000000001
3356,32062,-1,52971,400.0000000000001
3356,26673,-1,52971,400.0000000000001
3356,26778,-1,52971,400.0000000000001
3356,25823,-1,52971,400.0000000000001
3356,25871,-1,52971,400.0000000000001
3356,25898,-1,52971,400.0000000000001
3356,28596,-1,52971,400.0000000000001
3356,28597,-1,52971,400.0000000000001
3356,28272,-1,52971,400.0000000000001
3356,28914,-1,52971,400.0000000000001
3356,28626,-1,52971,400.0000000000001
3356,6717,-1,52971,400.0000000000001
3356,7313,-1,52971,400.0000000000001
3356,7068,-1,52971,400.0000000000001
3356,10806,-1,52971,400.0000000000001
3356,10545,-1,52971,400.0000000000001
3356,10599,-1,52971,400.0000000000001
3356,11078,-1,52971,400.0000000000001
3356,3791,-1,52971,400.0000000000001
3356,3486,-1,52971,400.0000000000001
3356,15256,-1,52971,400.0000000000001
3356,15317,-1,52971,400.0000000000001
3356,15013,-1,52971,400.0000000000001
3356,15319,-1,52971,400.0000000000001
3356,14297,-1,52971,400.0000000000001
3356,17158,-1,52971,400.0000000000001
3356,16875,-1,52971,400.0000000000001
3356,16643,-1,52971,400.0000000000001
3356,12215,-1,52971,400.0000000000001
3356,12379,-1,52971,400.0000000000001
3356,13916,-1,52971,400.0000000000001
3356,13150,-1,52971,400.0000000000001
3356,13391,-1,52971,400.0000000000001
3356,13581,-1,52971,400.0000000000001
