source,target,rel,cone
3356,26962,-1,1
3356,27237,-1,1
3356,26948,-1,1
3356,26751,-1,1
3356,26843,-1,1
3356,23494,-1,1
3356,23249,-1,1
3356,23354,-1,1
3356,23490,-1,1
3356,30175,-1,1
3356,30293,-1,1
3356,30066,-1,1
3356,29921,-1,1
3356,30630,-1,1
3356,30673,-1,1
3356,30377,-1,1
3356,30383,-1,1
3356,28213,-1,1
3356,27611,-1,1
3356,29430,-1,1
3356,60015,-1,1
3356,60594,-1,1
3356,59862,-1,1
3356,59859,-1,1
3356,62557,-1,1
3356,62609,-1,1
3356,62613,-1,1
3356,61266,-1,1
3356,61789,-1,1
3356,54661,-1,1
3356,54691,-1,1
3356,54230,-1,1
3356,54293,-1,1
3356,54324,-1,1
3356,55104,-1,1
3356,55248,-1,1
3356,199391,-1,1
3356,199421,-1,1
3356,197696,-1,1
3356,197949,-1,1
3356,198328,-1,1
3356,197508,-1,1
3356,202276,-1,1
3356,197267,-1,1
3356,63174,-1,1
3356,63407,-1,1
3356,62957,-1,1
3356,140905,-1,1
3356,46361,-1,1
3356,46282,-1,1
3356,47016,-1,1
3356,47444,-1,1
3356,46889,-1,1
3356,41721,-1,1
3356,44179,-1,1
3356,44236,-1,1
3356,44788,-1,1
3356,43579,-1,1
3356,53309,-1,1
3356,53113,-1,1
3356,52969,-1,1
3356,53017,-1,1
3356,53926,-1,1
3356,49920,-1,1
3356,50319,-1,1
3356,48659,-1,1
3356,48866,-1,1
3356,49182,-1,1
3356,52494,-1,1
3356,52582,-1,1
3356,50999,-1,1
3356,51366,-1,1
3356,51752,-1,1
4637,8222,-1,1
4637,12222,-1,1
4637,13150,-1,1
6939,200030,0,1
6939,200062,0,1
6939,199332,0,1
6939,199378,0,1
6939,199421,0,1
6939,199645,0,1
6939,200852,-1,1
6939,201714,-1,1
6939,200918,0,1
6939,201453,-1,1
6939,201512,0,1
6939,197267,0,1
6939,196863,0,1
6939,198430,0,1
6939,205919,0,1
6939,206011,0,1
6939,206173,0,1
6939,206184,0,1
6939,205848,0,1
6939,207176,0,1
6939,207992,0,1
6939,207013,0,1
6939,202894,-1,1
6939,204773,0,1
6939,204947,0,1
6939,204600,0,1
6939,62059,0,1
6939,62445,0,1
6939,62512,0,1
6939,62682,0,1
6939,61648,0,1
6939,63328,-1,1
6939,63368,-1,1
6939,63293,0,1
6939,61205,0,1
6939,59692,0,1
6939,59987,0,1
6939,58650,0,1
6939,60399,0,1
6939,60533,0,1
6939,138562,0,1
6939,136792,0,1
6939,148996,-1,1
6939,64261,-1,1
6939,136463,0,1
6939,136245,0,1
6939,64411,0,1
6939,131952,0,1
6939,135406,0,1
6939,133762,-1,1
6939,270600,0,1
6939,327906,0,1
6939,327991,0,1
6939,271529,0,1
6939,272806,0,1
6939,270285,0,1
6939,269517,0,1
6939,269523,0,1
6939,269998,0,1
6939,268940,0,1
6939,395726,-1,1
6939,395831,-1,1
6939,395177,-1,1
6939,394356,-1,1
6939,394501,-1,1
6939,394993,-1,1
6939,396388,-1,1
6939,396480,-1,1
6939,328341,0,1
6939,328356,-1,1
6939,328411,0,1
6939,394232,0,1
6939,394005,-1,1
6939,394006,-1,1
6939,393350,0,1
6939,213111,0,1
6939,262770,0,1
6939,262546,0,1
6939,262566,0,1
6939,209624,0,1
6939,210742,0,1
6939,211298,-1,1
6939,211694,0,1
6939,210052,0,1
6939,210083,-1,1
6939,210333,-1,1
6939,266156,0,1
6939,266169,0,1
6939,265244,0,1
6939,265257,0,1
6939,267083,0,1
6939,266430,0,1
6939,266538,0,1
6939,266546,0,1
6939,266620,0,1
6939,265098,0,1
6939,263341,0,1
6939,263083,0,1
6939,30383,-1,1
6939,30630,0,1
6939,30879,0,1
6939,29787,-1,1
6939,29921,0,1
6939,32398,0,1
6939,31673,0,1
6939,29512,-1,1
6939,28571,0,1
6939,28213,0,1
6939,27398,-1,1
6939,27611,0,1
6939,29430,0,1
6939,36111,-1,1
6939,36048,-1,1
6939,37342,0,1
6939,37482,0,1
6939,37225,0,1
6939,33916,0,1
6939,34134,-1,1
6939,32590,-1,1
6939,32808,-1,1
6939,32880,0,1
6939,32987,-1,1
6939,35180,0,1
6939,34337,0,1
6939,34422,-1,1
6939,34756,0,1
6939,20474,0,1
6939,20679,0,1
6939,19743,-1,1
6939,21158,0,1
6939,21176,0,1
6939,17718,0,1
6939,17049,-1,1
6939,18674,-1,1
6939,19300,-1,1
6939,25563,0,1
6939,25715,-1,1
6939,25190,0,1
